date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:11	14312/14312	---M-Z	200	added ('OK')	text/html	etag:W/%225d839310-37e8%22	https://dhaseanplus.com/	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/index.html	(from )
23:47:11	2110/2110	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d839310-246d%22	https://dhaseanplus.com/robots.txt		(from )
23:47:11	1440/1440	---M-Z	200	added ('OK')	text/css	etag:W/%225d839310-5a0%22	https://dhaseanplus.com/assets/css/colors.css	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/css/colors.css	(from https://dhaseanplus.com/)
23:47:12	571/571	---M-Z	200	added ('OK')	text/css	etag:W/%225d839306-23b%22	https://dhaseanplus.com/assets/css/button.css	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/css/button.css	(from https://dhaseanplus.com/)
23:47:12	5485/5485	---M-Z	200	added ('OK')	text/css	etag:W/%225d839310-156d%22	https://dhaseanplus.com/assets/css/header.css	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/css/header.css	(from https://dhaseanplus.com/)
23:47:12	792/792	---M-Z	200	added ('OK')	text/css	etag:W/%225d839310-318%22	https://dhaseanplus.com/assets/css/titlebar.css	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/css/titlebar.css	(from https://dhaseanplus.com/)
23:47:13	762/762	---M-Z	200	added ('OK')	text/css	etag:W/%225d839310-2fa%22	https://dhaseanplus.com/assets/css/footer.css	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/css/footer.css	(from https://dhaseanplus.com/)
23:47:13	7077/7077	---M-Z	200	added ('OK')	text/css	etag:W/%225d839310-1ba5%22	https://dhaseanplus.com/assets/css/index.css	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/css/index.css	(from https://dhaseanplus.com/)
23:47:13	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225d839306-3c2e%22	https://dhaseanplus.com/assets/img/favicon.ico	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/img/favicon.ico	(from https://dhaseanplus.com/)
23:47:14	211793/211793	---M--	200	added ('OK')	image/png	etag:%225d839306-33b51%22	https://dhaseanplus.com/assets/img/logo.png	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/assets/img/logo.png	(from https://dhaseanplus.com/)
23:47:14	11553/11553	---M-Z	200	added ('OK')	text/html	etag:W/%225d839310-2d21%22	https://dhaseanplus.com/about.html	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/about.html	(from https://dhaseanplus.com/)
23:47:14	11982/11982	---M-Z	200	added ('OK')	text/html	etag:W/%225d839310-2ece%22	https://dhaseanplus.com/welcome_address.html	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/welcome_address.html	(from https://dhaseanplus.com/)
23:47:14	17001/17001	---M-Z	200	added ('OK')	text/html	etag:W/%225d839310-4269%22	https://dhaseanplus.com/secretariat.html	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/secretariat.html	(from https://dhaseanplus.com/)
23:47:15	12930/12930	---M-Z	200	added ('OK')	text/html	etag:W/%225d839310-3282%22	https://dhaseanplus.com/councils.html	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/councils.html	(from https://dhaseanplus.com/)
23:47:15	15038/15038	---M-Z	200	added ('OK')	text/html	etag:W/%225d839311-3abe%22	https://dhaseanplus.com/councils/amem.html	C:/My%20Web%20Sites/dhap-2019-dev/dhaseanplus.com/councils/amem.html	(from https://dhaseanplus.com/)
